Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),date,year,month,day,hour
Foggy,snow,-1.2,-2.9,0.9,5.0,205.0,2.8,1020.5,2007-12-06 00:00:00+00:00,2007,12,6,0
Clear,snow,-2.9,-2.9,0.9,2.8,302.0,6.1,1023.8,2007-12-06 01:00:00+00:00,2007,12,6,1
Clear,snow,-3.4,-3.4,0.9,3.2,310.0,9.8,1023.3,2007-12-06 02:00:00+00:00,2007,12,6,2
Clear,snow,-2.9,-2.9,0.8,3.3,325.0,9.8,1022.7,2007-12-06 03:00:00+00:00,2007,12,6,3
Clear,snow,-3.0,-3.0,0.8,0.3,310.0,9.7,1022.6,2007-12-06 04:00:00+00:00,2007,12,6,4
Clear,snow,-4.0,-4.0,0.8,0.1,260.0,9.6,1022.8,2007-12-06 05:00:00+00:00,2007,12,6,5
Partly Cloudy,snow,-4.8,-4.8,0.9,3.8,274.0,5.7,1023.4,2007-12-06 06:00:00+00:00,2007,12,6,6
Partly Cloudy,snow,-2.9,-2.9,0.9,1.5,246.0,4.8,1023.9,2007-12-06 07:00:00+00:00,2007,12,6,7
Partly Cloudy,snow,-0.0,-0.0,0.8,0.4,188.0,3.9,1024.1,2007-12-06 08:00:00+00:00,2007,12,6,8
Partly Cloudy,rain,2.2,2.2,0.8,4.2,287.0,4.2,1023.8,2007-12-06 09:00:00+00:00,2007,12,6,9
Partly Cloudy,rain,6.0,6.0,0.7,0.6,222.0,8.0,1022.8,2007-12-06 10:00:00+00:00,2007,12,6,10
Partly Cloudy,rain,6.1,5.3,0.7,5.1,216.0,9.9,1022.4,2007-12-06 11:00:00+00:00,2007,12,6,11
Partly Cloudy,rain,6.9,6.0,0.7,5.8,229.0,9.4,1022.1,2007-12-06 12:00:00+00:00,2007,12,6,12
Mostly Cloudy,rain,7.1,5.3,0.7,9.5,268.0,10.0,1021.6,2007-12-06 13:00:00+00:00,2007,12,6,13
Mostly Cloudy,rain,6.0,4.3,0.7,8.0,243.0,9.9,1021.6,2007-12-06 14:00:00+00:00,2007,12,6,14
Mostly Cloudy,rain,5.0,2.7,0.8,9.5,241.0,9.4,1021.7,2007-12-06 15:00:00+00:00,2007,12,6,15
Mostly Cloudy,rain,3.9,2.9,0.8,4.9,234.0,9.9,1021.8,2007-12-06 16:00:00+00:00,2007,12,6,16
Mostly Cloudy,rain,3.8,1.3,0.8,9.5,249.0,9.9,1021.7,2007-12-06 17:00:00+00:00,2007,12,6,17
Mostly Cloudy,rain,3.7,0.9,0.8,11.2,229.0,9.8,1021.6,2007-12-06 18:00:00+00:00,2007,12,6,18
Mostly Cloudy,rain,2.6,-0.4,0.8,10.8,230.0,9.8,1021.3,2007-12-06 19:00:00+00:00,2007,12,6,19
Partly Cloudy,rain,1.6,-1.6,0.8,10.7,210.0,9.8,1021.0,2007-12-06 20:00:00+00:00,2007,12,6,20
Partly Cloudy,rain,0.8,-1.5,0.9,7.0,206.0,7.9,1020.9,2007-12-06 21:00:00+00:00,2007,12,6,21
Partly Cloudy,rain,0.0,-2.1,0.9,6.3,231.0,6.1,1020.7,2007-12-06 22:00:00+00:00,2007,12,6,22
Clear,snow,-0.5,-2.7,0.9,6.4,204.0,4.1,1020.3,2007-12-06 23:00:00+00:00,2007,12,6,23
